번호,작성자,작성일,댓글,회차,좋아요,대댓글수,댓글_전처리,댓글_토큰,감정_라벨
59,빨강머리앤,15.12.09,미소 그냥 좋아하다,김 비서가 왜 그럴까(애장판) 31화,469,3,미소 그냥 좋아하다,"['미소', '그냥', '좋아하다']",Positive
60,달의정원,15.12.08,학년 하다 걸다 하다 친구 뭔가 장난 시기 재개발 지역 미소 동네 영준 되다 하다 미소 말리 들다 건가 분명 배려 대해 미소 하다 없다 영준 하다,김 비서가 왜 그럴까(애장판) 17화,461,12,학년 하다 걸다 하다 친구 뭔가 장난 시기 재개발 지역 미소 동네 영준 되다 하다 미소 말리 들다 건가 분명 배려 대해 미소 하다 없다 영준 하다,"['학년', '하다', '걸다', '하다', '친구', '뭔가', '장난', '시기', '재개발', '지역', '미소', '동네', '영준', '되다', '하다', '미소', '말리', '들다', '건가', '분명', '배려', '대해', '미소', '하다', '없다', '영준', '하다']",Positive
61,별리와소리☆★,15.12.13,이렇다 태양 여동생 생기 안패 고도 진성 이기 엄마 아빠 유전자 라면 진성 그냥 갈다 자명하다,김 비서가 왜 그럴까(애장판) 71화,457,2,이렇다 태양 여동생 생기 안패 고도 진성 이기 엄마 아빠 유전자 라면 진성 그냥 갈다 자명하다,"['이렇다', '태양', '여동생', '생기', '안패', '고도', '진성', '이기', '엄마', '아빠', '유전자', '라면', '진성', '그냥', '갈다', '자명하다']",Neutral
62,바람속을걷다,15.12.13,영준 이제 서다 주변 사람 마음 헤아리다,김 비서가 왜 그럴까(애장판) 70화,443,5,영준 이제 서다 주변 사람 마음 헤아리다,"['영준', '이제', '서다', '주변', '사람', '마음', '헤아리다']",Neutral
63,니냐니뇨,15.12.07,쿨하다 그만두다 하다 비서 빈자리 느끼다 남다 이렇다 용이 겠다 김비 서다 짝사랑 해오다 보스 머물다 없다 이렇다 아니다 된거 감사하다 독하다,김 비서가 왜 그럴까(애장판) 02화,439,6,쿨하다 그만두다 하다 비서 빈자리 느끼다 남다 이렇다 용이 겠다 김비 서다 짝사랑 해오다 보스 머물다 없다 이렇다 아니다 된거 감사하다 독하다,"['쿨하다', '그만두다', '하다', '비서', '빈자리', '느끼다', '남다', '이렇다', '용이', '겠다', '김비', '서다', '짝사랑', '해오다', '보스', '머물다', '없다', '이렇다', '아니다', '된거', '감사하다', '독하다']",Negative
64,레니,15.12.07,어리다 오빠,김 비서가 왜 그럴까(애장판) 05화,437,18,어리다 오빠,"['어리다', '오빠']",Neutral
65,니냐니뇨,15.12.07,자다 모든 생활 하다 부부 아니다 부부 사이 되다,김 비서가 왜 그럴까(애장판) 15화,436,9,자다 모든 생활 하다 부부 아니다 부부 사이 되다,"['자다', '모든', '생활', '하다', '부부', '아니다', '부부', '사이', '되다']",Neutral
66,륜.,15.12.30,미소 나가다 영준 이미자,김 비서가 왜 그럴까(애장판) 45화,430,16,미소 나가다 영준 이미자,"['미소', '나가다', '영준', '이미자']",Positive
67,쟈스민,15.12.13,미소 영준 납치 당하다 아마 극도 공포 경험 무섭다 일부 기억 잃어버리다 보다 영준 기억 하다 회식 다가오다 이름 물어 보고 가다 하다 신입 사원 이름 물어 보지 않다 영준 자뻑 심하다 거려,김 비서가 왜 그럴까(애장판) 07화,426,7,미소 영준 납치 당하다 아마 극도 공포 경험 무섭다 일부 기억 잃어버리다 보다 영준 기억 하다 회식 다가오다 이름 물어 보고 가다 하다 신입 사원 이름 물어 보지 않다 영준 자뻑 심하다 거려,"['미소', '영준', '납치', '당하다', '아마', '극도', '공포', '경험', '무섭다', '일부', '기억', '잃어버리다', '보다', '영준', '기억', '하다', '회식', '다가오다', '이름', '물어', '보고', '가다', '하다', '신입', '사원', '이름', '물어', '보지', '않다', '영준', '자뻑', '심하다', '거려']",Negative
68,바람불다♡♡,15.12.13,지구 우주 정복 욕심 많다 봉황 느리다 태양 이다 미소 호랑이 아빠 사람 이다 아들 이름 제발 평범하다 지다 미소 엄마 사람 이름 가지 하니 감사하다,김 비서가 왜 그럴까(애장판) 69화,417,4,지구 우주 정복 욕심 많다 봉황 느리다 태양 이다 미소 호랑이 아빠 사람 이다 아들 이름 제발 평범하다 지다 미소 엄마 사람 이름 가지 하니 감사하다,"['지구', '우주', '정복', '욕심', '많다', '봉황', '느리다', '태양', '이다', '미소', '호랑이', '아빠', '사람', '이다', '아들', '이름', '제발', '평범하다', '지다', '미소', '엄마', '사람', '이름', '가지', '하니', '감사하다']",Positive
69,얼음꽃마녀,16.01.30,스커트 인지 바지 인지 문제 아니다 급하다 초첬 달다 얘기 찬찬하다 스키니진 벗기다,김 비서가 왜 그럴까(애장판) 59화,415,10,스커트 인지 바지 인지 문제 아니다 급하다 초첬 달다 얘기 찬찬하다 스키니진 벗기다,"['스커트', '인지', '바지', '인지', '문제', '아니다', '급하다', '초첬', '달다', '얘기', '찬찬하다', '스키니진', '벗기다']",Neutral
70,별리와소리☆★,15.12.13,영준 미소 알아보다 미소 아니다 영준 거미 연상 작용 되다 이미지 공포 느끼다 보다 고생 많다 영준,김 비서가 왜 그럴까(애장판) 74화,412,6,영준 미소 알아보다 미소 아니다 영준 거미 연상 작용 되다 이미지 공포 느끼다 보다 고생 많다 영준,"['영준', '미소', '알아보다', '미소', '아니다', '영준', '거미', '연상', '작용', '되다', '이미지', '공포', '느끼다', '보다', '고생', '많다', '영준']",Positive
71,마니마니,16.02.05,잘생기다 많다 시부모 건안 따다 잘해주다 집안 현실 없다,김 비서가 왜 그럴까(애장판) 66화,409,11,잘생기다 많다 시부모 건안 따다 잘해주다 집안 현실 없다,"['잘생기다', '많다', '시부모', '건안', '따다', '잘해주다', '집안', '현실', '없다']",Positive
72,엄지엄지,15.12.28,최후 자루 인생 꺄악 넘다 멋지다,김 비서가 왜 그럴까(애장판) 62화,405,3,최후 자루 인생 꺄악 넘다 멋지다,"['최후', '자루', '인생', '꺄악', '넘다', '멋지다']",Positive
73,가을비,15.12.23,어머니 진짜 좋다 알다 끊다,김 비서가 왜 그럴까(애장판) 46화,403,5,어머니 진짜 좋다 알다 끊다,"['어머니', '진짜', '좋다', '알다', '끊다']",Positive
74,난반댈세!!,16.01.02,성연 동생 하다 잘나다 아프다 시기하다 납치 당하다 알다 거짓말 하다 동생 진짜 뻔하다 그것 하다 행동 비난 받다 싫다 기억 위조 건가 동생 나쁘다 하다 펑소 잘나다 동생 잘못 이다 비난 받다 싫다 동생 때문 나쁘다 짓다 가하다 성연,김 비서가 왜 그럴까(애장판) 34화,400,5,성연 동생 하다 잘나다 아프다 시기하다 납치 당하다 알다 거짓말 하다 동생 진짜 뻔하다 그것 하다 행동 비난 받다 싫다 기억 위조 건가 동생 나쁘다 하다 펑소 잘나다 동생 잘못 이다 비난 받다 싫다 동생 때문 나쁘다 짓다 가하다 성연,"['성연', '동생', '하다', '잘나다', '아프다', '시기하다', '납치', '당하다', '알다', '거짓말', '하다', '동생', '진짜', '뻔하다', '그것', '하다', '행동', '비난', '받다', '싫다', '기억', '위조', '건가', '동생', '나쁘다', '하다', '펑소', '잘나다', '동생', '잘못', '이다', '비난', '받다', '싫다', '동생', '때문', '나쁘다', '짓다', '가하다', '성연']",Negative
75,아기멍멍,15.12.11,회전 의자 앉다,김 비서가 왜 그럴까(애장판) 32화,398,4,회전 의자 앉다,"['회전', '의자', '앉다']",Neutral
76,블루노바,15.12.31,봉황 아들 쌍둥이 낳을 시어머니 주신 쌍둥이 낳다 들깨 가루 스포 소나무 안다 임신 하다 여의주 왕창 욕심꾸러기 아들 봉황 처럼 기품 얌전하다 쌍둥이 예상 해보다,김 비서가 왜 그럴까(애장판) 67화,395,8,봉황 아들 쌍둥이 낳을 시어머니 주신 쌍둥이 낳다 들깨 가루 스포 소나무 안다 임신 하다 여의주 왕창 욕심꾸러기 아들 봉황 처럼 기품 얌전하다 쌍둥이 예상 해보다,"['봉황', '아들', '쌍둥이', '낳을', '시어머니', '주신', '쌍둥이', '낳다', '들깨', '가루', '스포', '소나무', '안다', '임신', '하다', '여의주', '왕창', '욕심꾸러기', '아들', '봉황', '처럼', '기품', '얌전하다', '쌍둥이', '예상', '해보다']",Negative
77,바람불다♡♡,15.12.07,하트 시달리다 새벽 출근 이르다 아홉시 자다 새벽 한시 카톡 울다 대다 어떻다 되다 건지다 기억 안나 사망 하다 사건,김 비서가 왜 그럴까(애장판) 12화,395,15,하트 시달리다 새벽 출근 이르다 아홉시 자다 새벽 한시 카톡 울다 대다 어떻다 되다 건지다 기억 안나 사망 하다 사건,"['하트', '시달리다', '새벽', '출근', '이르다', '아홉시', '자다', '새벽', '한시', '카톡', '울다', '대다', '어떻다', '되다', '건지다', '기억', '안나', '사망', '하다', '사건']",Negative
78,수수꽃다리,16.02.05,아빠 뺏다 엄마 아빠 뺏다 태양 커서 비서 만들다,김 비서가 왜 그럴까(애장판) 70화,394,4,아빠 뺏다 엄마 아빠 뺏다 태양 커서 비서 만들다,"['아빠', '뺏다', '엄마', '아빠', '뺏다', '태양', '커서', '비서', '만들다']",Neutral
79,로사❤,15.12.10,수행 하다 하다 저런 높다 경력 의아 하다 상식 이해 안되다 남자 월반 월반 하다 능력자 로설 정도 미소 어떻다 성장 배경,김 비서가 왜 그럴까(애장판) 01화,392,29,수행 하다 하다 저런 높다 경력 의아 하다 상식 이해 안되다 남자 월반 월반 하다 능력자 로설 정도 미소 어떻다 성장 배경,"['수행', '하다', '하다', '저런', '높다', '경력', '의아', '하다', '상식', '이해', '안되다', '남자', '월반', '월반', '하다', '능력자', '로설', '정도', '미소', '어떻다', '성장', '배경']",Positive
80,빨강머리앤,15.12.10,태양 언어 영역 남다르다,김 비서가 왜 그럴까(애장판) 73화,391,7,태양 언어 영역 남다르다,"['태양', '언어', '영역', '남다르다']",Neutral
81,똬아앗,15.12.08,좋다 좋다 무고 캐시 쓰다,김 비서가 왜 그럴까(애장판) 14화,386,34,좋다 좋다 무고 캐시 쓰다,"['좋다', '좋다', '무고', '캐시', '쓰다']",Positive
82,적월영,16.01.18,부모님 제일 나쁘다 어떻다 가해자 피해자 인척 하다 그대로 방관 하다 비난 하다 두다,김 비서가 왜 그럴까(애장판) 44화,382,9,부모님 제일 나쁘다 어떻다 가해자 피해자 인척 하다 그대로 방관 하다 비난 하다 두다,"['부모님', '제일', '나쁘다', '어떻다', '가해자', '피해자', '인척', '하다', '그대로', '방관', '하다', '비난', '하다', '두다']",Negative
83,달의정원,15.12.08,유괴 되다 그렇다 미소 유괴 되어다 건가 미소 엄마 유괴 아니다 그렇다 대한 배다,김 비서가 왜 그럴까(애장판) 22화,380,18,유괴 되다 그렇다 미소 유괴 되어다 건가 미소 엄마 유괴 아니다 그렇다 대한 배다,"['유괴', '되다', '그렇다', '미소', '유괴', '되어다', '건가', '미소', '엄마', '유괴', '아니다', '그렇다', '대한', '배다']",Positive
84,일단읽고봅시다~💋,15.12.08,밉다 밉다 깔끔하다 사표 지저분하다 푸하하하,김 비서가 왜 그럴까(애장판) 63화,380,2,밉다 밉다 깔끔하다 사표 지저분하다 푸하하하,"['밉다', '밉다', '깔끔하다', '사표', '지저분하다', '푸하하하']",Negative
85,니냐니뇨,15.12.13,이렇다 제보 프로포즈 미소 먼저 하다 심각하다 상황 깜찍하다 미소 때문 웃음 이나 오다,김 비서가 왜 그럴까(애장판) 52화,379,4,이렇다 제보 프로포즈 미소 먼저 하다 심각하다 상황 깜찍하다 미소 때문 웃음 이나 오다,"['이렇다', '제보', '프로포즈', '미소', '먼저', '하다', '심각하다', '상황', '깜찍하다', '미소', '때문', '웃음', '이나', '오다']",Positive
86,별리와소리☆★,15.12.09,미소 좋아하다 영준 하다 님들 처럼 로맨스 물다,김 비서가 왜 그럴까(애장판) 28화,378,18,미소 좋아하다 영준 하다 님들 처럼 로맨스 물다,"['미소', '좋아하다', '영준', '하다', '님들', '처럼', '로맨스', '물다']",Positive
87,바람불다♡♡,15.12.09,푸하하하 영준 정말 애틋하다 사이 없다 읽다 습관 처럼 커피 국화 말다 나오다 멀리 멀다 이사 보내다 영준 말다 만나다 정말 안되겠니 크다,김 비서가 왜 그럴까(애장판) 30화,377,9,푸하하하 영준 정말 애틋하다 사이 없다 읽다 습관 처럼 커피 국화 말다 나오다 멀리 멀다 이사 보내다 영준 말다 만나다 정말 안되겠니 크다,"['푸하하하', '영준', '정말', '애틋하다', '사이', '없다', '읽다', '습관', '처럼', '커피', '국화', '말다', '나오다', '멀리', '멀다', '이사', '보내다', '영준', '말다', '만나다', '정말', '안되겠니', '크다']",Negative
88,his,16.07.03,영준 미소 어깨동무 하다 명랑 운동회 하다 어떻다 미소 바스 느껴지다 이렇다 크다 남자 동안 참다 살다 표시 좋다,김 비서가 왜 그럴까(애장판) 21화,376,7,영준 미소 어깨동무 하다 명랑 운동회 하다 어떻다 미소 바스 느껴지다 이렇다 크다 남자 동안 참다 살다 표시 좋다,"['영준', '미소', '어깨동무', '하다', '명랑', '운동회', '하다', '어떻다', '미소', '바스', '느껴지다', '이렇다', '크다', '남자', '동안', '참다', '살다', '표시', '좋다']",Positive
89,별리와소리☆★,15.12.14,중간 중간 지르다 버리다 사랑스럽다 여주 나르시즘 남다 데리 즐겁다 여행 다니다 읽다 커피 하다 신애 처음 무겁다 무겁다 않다 갈등 깊다 않다 개그 한편 보다 하다 결코 가볍다 않다 자다 읽다,김 비서가 왜 그럴까(애장판) 78화,372,19,중간 중간 지르다 버리다 사랑스럽다 여주 나르시즘 남다 데리 즐겁다 여행 다니다 읽다 커피 하다 신애 처음 무겁다 무겁다 않다 갈등 깊다 않다 개그 한편 보다 하다 결코 가볍다 않다 자다 읽다,"['중간', '중간', '지르다', '버리다', '사랑스럽다', '여주', '나르시즘', '남다', '데리', '즐겁다', '여행', '다니다', '읽다', '커피', '하다', '신애', '처음', '무겁다', '무겁다', '않다', '갈등', '깊다', '않다', '개그', '한편', '보다', '하다', '결코', '가볍다', '않다', '자다', '읽다']",Negative
